House_ID,Datetime,Forecasted_PV,Reliability_PV_24h,Forecasted_Load_Consumption,Reliability_Load_24h
Andreas,2025-09-01 16:00:00,255.28176879882812,0.8446981245824895,141.3676837158203,0.7502630576753004
Andreas,2025-09-01 16:05:00,248.67713928222656,0.8446981245824895,130.8651528930664,0.7502630576753004
Andreas,2025-09-01 16:10:00,241.36090087890625,0.8446981245824895,129.84661254882812,0.7502630576753004
Andreas,2025-09-01 16:15:00,233.2611083984375,0.8446981245824895,122.38889953613281,0.7502630576753004
Andreas,2025-09-01 16:20:00,225.8319854736328,0.8446981245824895,153.57557556152344,0.7502630576753004
Andreas,2025-09-01 16:25:00,218.19891357421875,0.8446981245824895,146.26660858154298,0.7502630576753004
Andreas,2025-09-01 16:30:00,210.25146484375,0.8446981245824895,141.63630020141602,0.7502630576753004
Andreas,2025-09-01 16:35:00,202.3458709716797,0.8446981245824895,138.07605606079102,0.7502630576753004
Andreas,2025-09-01 16:40:00,194.4579620361328,0.8446981245824895,124.01743011474609,0.7502630576753004
Andreas,2025-09-01 16:45:00,187.0286407470703,0.8446981245824895,119.38267700195313,0.7502630576753004
Andreas,2025-09-01 16:50:00,179.25625610351562,0.8446981245824895,94.68822875976562,0.7502630576753004
Andreas,2025-09-01 16:55:00,171.3651885986328,0.8446981245824895,91.16273956298828,0.7502630576753004
Andreas,2025-09-01 17:00:00,163.67897033691406,0.8446981245824895,63.963746032714845,0.7502630576753004
Andreas,2025-09-01 17:05:00,155.9286651611328,0.8446981245824895,52.98050758361816,0.7502630576753004
Andreas,2025-09-01 17:10:00,148.39968872070312,0.8446981245824895,55.63000099182129,0.7502630576753004
Andreas,2025-09-01 17:15:00,140.6550750732422,0.8446981245824895,96.8751064300537,0.7502630576753004
Andreas,2025-09-01 17:20:00,133.13015747070312,0.8446981245824895,63.27347160339355,0.7502630576753004
Andreas,2025-09-01 17:25:00,126.00727081298828,0.8446981245824895,52.212721328735356,0.7502630576753004
Andreas,2025-09-01 17:30:00,118.60565185546875,0.8446981245824895,51.31408638000488,0.7502630576753004
Andreas,2025-09-01 17:35:00,111.32897186279297,0.8446981245824895,48.692927246093745,0.7502630576753004
Andreas,2025-09-01 17:40:00,103.99320220947266,0.8446981245824895,47.733331527709964,0.7502630576753004
Andreas,2025-09-01 17:45:00,97.16078186035156,0.8446981245824895,55.24057098388672,0.7502630576753004
Andreas,2025-09-01 17:50:00,90.2989730834961,0.8446981245824895,45.67188987731934,0.7502630576753004
Andreas,2025-09-01 17:55:00,83.9532470703125,0.8446981245824895,43.870304336547846,0.7502630576753004
Andreas,2025-09-01 18:00:00,77.58360290527344,0.8446981245824895,43.59433525085449,0.7502630576753004
Andreas,2025-09-01 18:05:00,70.86097717285156,0.8446981245824895,42.147603607177736,0.7502630576753004
Andreas,2025-09-01 18:10:00,64.58146667480469,0.8446981245824895,80.6023762512207,0.7502630576753004
Andreas,2025-09-01 18:15:00,58.62223434448242,0.8446981245824895,61.29277313232422,0.7502630576753004
Andreas,2025-09-01 18:20:00,52.693355560302734,0.8446981245824895,61.62863327026367,0.7502630576753004
Andreas,2025-09-01 18:25:00,47.210567474365234,0.8446981245824895,50.38754367828369,0.7502630576753004
Andreas,2025-09-01 18:30:00,41.75007247924805,0.8446981245824895,51.98342296600342,0.7502630576753004
Andreas,2025-09-01 18:35:00,36.699222564697266,0.8446981245824895,53.45572135925293,0.7502630576753004
Andreas,2025-09-01 18:40:00,31.895387649536133,0.8446981245824895,82.91060276031494,0.7502630576753004
Andreas,2025-09-01 18:45:00,26.98021125793457,0.8446981245824895,81.18009639739991,0.7502630576753004
Andreas,2025-09-01 18:50:00,22.405611038208008,0.8446981245824895,81.05239265441895,0.7502630576753004
Andreas,2025-09-01 18:55:00,18.264680862426758,0.8446981245824895,80.27134502410888,0.7502630576753004
Andreas,2025-09-01 19:00:00,14.56004524230957,0.8446981245824895,54.81343650817871,0.7502630576753004
Andreas,2025-09-01 19:05:00,10.831514358520508,0.8446981245824895,55.6383763885498,0.7502630576753004
Andreas,2025-09-01 19:10:00,7.523012638092041,0.8446981245824895,53.846381454467775,0.7502630576753004
Andreas,2025-09-01 19:15:00,4.503206729888916,0.8446981245824895,54.021389427185056,0.7502630576753004
Andreas,2025-09-01 19:20:00,1.444933295249939,0.8446981245824895,52.058419189453126,0.7502630576753004
Andreas,2025-09-01 19:25:00,0.0,0.8446981245824895,164.21102504730226,0.7502630576753004
Andreas,2025-09-01 19:30:00,0.0,0.8446981245824895,173.51968421936036,0.7502630576753004
Andreas,2025-09-01 19:35:00,0.0,0.8446981245824895,160.69461612701417,0.7502630576753004
Andreas,2025-09-01 19:40:00,0.0,0.8446981245824895,193.87482540130614,0.7502630576753004
Andreas,2025-09-01 19:45:00,0.0,0.8446981245824895,161.8631830215454,0.7502630576753004
Andreas,2025-09-01 19:50:00,0.0,0.8446981245824895,160.9334348678589,0.7502630576753004
Andreas,2025-09-01 19:55:00,0.0,0.8446981245824895,62.03551124572754,0.7502630576753004
Andreas,2025-09-01 20:00:00,0.0,0.8446981245824895,55.497356452941894,0.7502630576753004
Andreas,2025-09-01 20:05:00,0.0,0.8446981245824895,53.377008514404295,0.7502630576753004
Andreas,2025-09-01 20:10:00,0.0,0.8446981245824895,52.99248371124268,0.7502630576753004
Andreas,2025-09-01 20:15:00,0.0,0.8446981245824895,52.76462547302246,0.7502630576753004
Andreas,2025-09-01 20:20:00,0.0,0.8446981245824895,53.12217306137085,0.7502630576753004
